,PPL Rank 1,PPL Score,Participant,"MHI 2, 3",Population Served,PWSID No(s).,SRF Project No.,Project Description,Estimated Green Project Reserve Cost,Green Project Reserve Category 4,"Current User Rate (per 4,000  gallons) 2","Estimated  Post-Project User Rate  (per 4,000  gallons) 2",Requested Funds,Cumulative Requested Funds
0,1,97,Nashville/Brown Co. State Park,"$45,000","3,315",5207002,DW220307 01,"Water Main Extension, Storage, and Distribution System 
Improvements",TBD,WE,$72.73,$72.73,"$2,900,000","$2,900,000"
1,2,74,Wheatland,"$42,292",480,5242016,DW220142 01,Distribution System Improvements,TBD,TBD,$42.47,$113.71,"$3,000,000","$5,900,000"
2,3,72,Monticello - RCA Neighborhood,"$43,182","5,300",5291011,DW220791 03,"Distribution System Improvements and Lead Service Line 
Replacement",$0,N/A,$22.05,$25.07,"$1,400,000","$7,300,000"
3,4,70,Evansville - Treatment Plant,"$42,600","173,000",5282002,DW220482 03,New Treatment Plant,TBD,TBD,$33.74,$45.86,"$200,000,000","$207,300,000"
4,5,53,Fort Wayne,"$49,855","266,000",5202020,DW210212 05,"Supply, Storage, Distribution System, and Treatment 
Improvements; Lead Service Line Replacement","$15,510,251",WE,$25.32,$30.32,"$45,000,000","$252,300,000"
5,6,50,Jackson County Water Utility,"$51,250","14,747","5236003
5236008",DW210336 04,"Distribution System Improvements and Lead Service Line 
Replacement",$0,N/A,$46.15,$48.93,"$4,300,000","$256,600,000"
6,7,50,Grabill,"$54,704","1,250",5202006,DW201302 02,"Supply, Treatment, and Distribution System Improvements","$296,000","EE, WE",$17.96,$41.14,"$5,200,000","$261,800,000"
7,8,47,Lapel,"$57,845","2,068",5248013,DW210548 02,"Supply, Storage, and Distribution System Improvements",$0,N/A,$35.10,$50.00,"$4,800,000","$266,600,000"
8,9,47,"Maysville Regional Water and Sewer 
District","$60,566","1,634",5202037,DW220502 01,"Water Main Extension, Storage, and Distribution System 
Improvements",$0,N/A,$36.25,$65.00,"$2,500,000","$269,100,000"
9,10,46,Andrews,"$42,765","1,149",5235001,DW160935 01,New Plant,TBD,TBD,$38.48,$132.49,"$5,200,000","$274,300,000"
10,11,43,Monticello - Water Main Replacement,"$43,182","5,300",5291011,DW210191 02,Distribution System Improvements,$0,N/A,$22.05,$25.07,"$2,400,000","$276,700,000"
11,12,36,Cromwell,"$43,229",550,5257004,DW211657 02,"Supply, Treatment, Storage, and Distribution System 
Improvements","$32,000",EE,$45.26,$97.31,"$3,500,000","$280,200,000"
